Case_ID,Side,Curve1_RAS_S_Avg,Curve2_RAS_S_Avg,Curve1_RAS_R_Avg,Curve2_RAS_R_Avg,Superior Curve,RAS_S Diff,RAS_R Alignment Check
mr_076,R,-22.11,-16.03,24.19,-9.56,curve2,6.08,✅
mr_077,L,7.44,-1.15,0.63,-21.72,curve1,8.58,✅
mr_077,R,9.15,-2.19,2.73,31.66,curve1,11.34,✅
mr_078,L,-19.38,-9.58,-23.71,7.35,curve2,9.8,✅
mr_078,R,-33.16,-9.42,39.83,7.73,curve2,23.75,✅
mr_079,L,77.34,64.12,1.62,-24.72,curve1,13.21,✅
mr_079,R,64.5,77.0,21.14,3.86,curve2,12.49,✅
mr_080,L,-2.66,-17.57,3.86,-21.03,curve1,14.9,✅
mr_080,R,-20.36,-2.61,27.68,5.36,curve2,17.74,✅
mr_081,L,-49.0,-27.62,-21.75,-4.55,curve2,21.39,✅
mr_081,R,-28.02,-48.4,-4.44,26.18,curve1,20.38,✅
mr_082,L,-19.52,6.05,-34.69,-5.01,curve2,25.57,✅
mr_082,R,-17.61,6.08,29.91,-3.22,curve2,23.68,✅
mr_083,L,7.33,-1.69,6.08,-28.29,curve1,9.02,✅
mr_084,L,7.63,-9.43,4.61,-25.48,curve1,17.06,✅
mr_084,R,-5.5,-10.34,3.44,37.22,curve1,4.85,✅
mr_085,L,-27.14,-31.38,1.53,-19.61,curve1,4.24,✅
mr_085,R,-25.43,-28.3,4.41,18.32,curve1,2.87,✅
mr_086,L,8.66,2.17,2.54,-34.62,curve1,6.49,✅
mr_086,R,-2.07,10.54,35.64,3.24,curve2,12.61,✅
mr_087,L,-11.9,-27.12,2.75,-22.79,curve1,15.22,✅
mr_087,R,-21.62,-12.3,30.59,3.12,curve2,9.32,✅
mr_088,L,2.33,18.91,-29.12,-7.29,curve2,16.58,✅
mr_088,R,6.94,18.83,20.77,-7.09,curve2,11.88,✅
mr_089,L,18.52,4.08,-8.12,-33.39,curve1,14.43,✅
mr_089,R,18.59,5.01,-5.57,22.1,curve1,13.58,✅
mr_090,L,-0.59,6.42,-30.06,-8.08,curve2,7.02,✅
mr_090,R,2.55,19.37,18.93,-7.73,curve2,16.82,✅
mr_131,L,28.31,10.23,2.19,-22.28,curve1,18.09,✅
mr_131,R,7.49,29.14,34.93,2.72,curve2,21.65,✅
mr_132,L,21.4,-0.54,-16.09,-40.94,curve1,21.93,✅
mr_132,R,0.93,19.73,15.63,-16.88,curve2,18.8,✅
mr_133,L,6.93,30.73,-28.66,-1.39,curve2,23.8,✅
mr_134,L,-7.55,14.22,-35.56,-6.39,curve2,21.76,✅
mr_135,L,-15.61,0.75,-33.68,-4.5,curve2,16.36,✅
mr_135,R,-15.1,2.21,32.59,-1.96,curve2,17.31,✅
mr_136,L,-21.18,-6.26,-17.7,4.96,curve2,14.92,✅
mr_136,R,-5.81,-34.54,6.93,34.39,curve1,28.73,✅
mr_137,L,14.35,31.43,-27.8,-7.85,curve2,17.08,✅
mr_137,R,17.22,31.48,26.89,-5.59,curve2,14.25,✅
mr_138,L,-35.86,-17.02,-22.37,-4.12,curve2,18.84,✅
mr_138,R,-15.99,-31.59,-1.68,30.23,curve1,15.6,✅
mr_139,L,-51.63,-24.76,-23.93,1.96,curve2,26.86,✅
mr_139,R,-26.56,-53.27,4.03,31.27,curve1,26.71,✅
mr_140,L,11.63,26.56,-32.41,-6.32,curve2,14.93,✅
mr_140,R,26.75,14.5,-6.11,18.85,curve1,12.24,✅
mr_141,L,6.99,21.32,-33.48,-5.97,curve2,14.32,✅
mr_141,R,18.62,-4.12,-5.78,21.3,curve1,22.74,✅
mr_142,L,-13.04,-29.44,-12.11,-39.14,curve1,16.4,✅
mr_142,R,-37.71,-14.19,15.9,-9.9,curve2,23.52,✅
mr_143,L,-27.63,-3.69,-26.07,-0.05,curve2,23.94,✅
mr_143,R,-5.29,-19.11,1.74,31.19,curve1,13.83,✅
mr_144,L,40.23,56.3,-24.73,0.0,curve2,16.07,✅
mr_144,R,58.76,36.1,1.5,34.16,curve1,22.65,✅
mr_145,L,-54.51,-32.95,-29.59,-3.11,curve2,21.56,✅
mr_146,L,24.53,43.88,-25.04,1.6,curve2,19.35,✅
mr_146,R,42.67,20.67,5.61,32.32,curve1,22.0,✅
mr_147,L,9.28,20.7,-31.14,-2.86,curve2,11.42,✅
mr_147,R,-4.01,18.25,27.33,-3.67,curve2,22.26,✅
mr_148,L,7.82,-4.98,-3.97,-31.99,curve1,12.8,✅
mr_148,R,-7.78,10.74,30.47,-4.23,curve2,18.52,✅
mr_149,L,44.87,28.86,-3.74,-30.36,curve1,16.01,✅
mr_149,R,30.31,47.68,32.66,-2.48,curve2,17.38,✅
mr_150,L,-27.73,-46.51,-4.94,-28.39,curve1,18.78,✅
mr_150,R,-27.48,-44.21,-3.17,24.71,curve1,16.73,✅
mr_151,L,96.21,77.57,9.71,-17.17,curve1,18.64,✅
mr_151,R,95.44,76.98,10.05,37.76,curve1,18.46,✅
mr_152,L,21.83,4.6,4.27,-17.39,curve1,17.23,✅
mr_152,R,-0.06,20.54,33.3,4.71,curve2,20.6,✅
mr_153,L,33.84,51.02,-30.5,-2.01,curve2,17.18,✅
mr_153,R,30.61,51.07,33.06,1.53,curve2,20.46,✅
mr_154,L,-2.77,13.79,-27.93,-3.42,curve2,16.56,✅
mr_154,R,-8.92,11.77,28.06,-2.27,curve2,20.69,✅
mr_155,L,28.98,8.3,-1.94,-29.0,curve1,20.68,✅
mr_155,R,28.89,12.05,-1.68,29.45,curve1,16.84,✅
mr_156,L,-9.23,11.08,-20.84,0.56,curve2,20.31,✅
mr_156,R,-9.88,12.43,32.66,3.09,curve2,22.31,✅
mr_157,L,-19.71,0.47,-29.17,-4.83,curve2,20.19,✅
mr_157,R,-21.76,-1.2,23.95,-4.24,curve2,20.56,✅
mr_158,L,24.55,40.4,-32.23,-4.36,curve2,15.85,✅
mr_158,R,24.05,38.9,32.85,-2.78,curve2,14.85,✅
mr_159,L,-19.85,3.12,-37.63,-10.42,curve2,22.97,✅
mr_159,R,-12.31,0.47,20.7,-6.83,curve2,12.77,✅
mr_160,L,-22.73,-3.99,-32.85,-5.54,curve2,18.74,✅
mr_160,R,-19.33,-1.15,24.95,-3.23,curve2,18.17,✅
mr_161,L,6.66,25.45,-2.82,14.31,curve2,18.79,✅
mr_161,R,25.16,-2.02,17.49,47.83,curve1,27.18,✅
mr_162,L,-19.13,-5.51,-15.74,11.62,curve2,13.62,✅
mr_163,L,28.27,7.2,3.8,-24.21,curve1,21.07,✅
mr_163,R,28.35,14.19,3.99,31.19,curve1,14.16,✅
mr_164,L,-29.22,-0.5,-21.34,2.22,curve2,28.72,✅
mr_164,R,-8.48,-19.13,3.66,27.94,curve1,10.65,✅
mr_165,L,-14.5,-32.74,-2.5,-30.13,curve1,18.24,✅
mr_165,R,-13.9,-33.21,-2.34,33.94,curve1,19.31,✅
