Model_ID,ICA_Span,ACA_Span,MCA_Span,ICA_Mean_CE_Diameter,ICA_Mean_MIS_Diameter,ICA_CE_Radius,ICA_Roundness_Index,ACA_Mean_CE_Diameter,ACA_Mean_MIS_Diameter,ACA_CE_Radius,ACA_Roundness_Index,MCA_Mean_CE_Diameter,MCA_Mean_MIS_Diameter,MCA_CE_Radius,MCA_Roundness_Index
ct_001_R,18,20,20,4.7359,4.489608888888889,2.36795,0.9479948666333514,2.83434,2.5484449999999996,1.41717,0.89913172025939,3.581322,3.5019134999999997,1.790661,0.9778270426395614
ct_002_L,20,20,20,3.9632279999999995,3.9084799999999995,1.9816139999999998,0.98618600797128,2.9788355,2.6679265,1.48941775,0.8956273349099002,3.9054495000000005,3.693155,1.9527247500000002,0.9456414684148392
ct_002_R,20,20,20,3.436756999999999,3.307718499999999,1.7183784999999996,0.962453411748343,2.7941014999999996,2.7790295,1.3970507499999998,0.9946057793533988,3.713803,3.4126,1.8569015,0.9188963442595097
ct_003_R,20,20,20,4.2469585,3.9854320000000003,2.12347925,0.9384202835982505,2.5450170000000005,2.5027690000000002,1.2725085000000003,0.9833997179586619,3.6339725,3.3990085,1.81698625,0.9353423835761002
ct_004_L,20,20,20,4.3288435000000005,4.192711,2.1644217500000003,0.968552224167956,3.0549984999999995,2.883743,1.5274992499999998,0.9439425256673614,3.3389119999999997,3.161099,1.6694559999999998,0.9467452271877786
ct_004_R,20,20,20,4.3557844999999995,3.4510124999999996,2.1778922499999998,0.7922826531018695,2.470582,2.4154805,1.235291,0.9776969556161262,3.378349,3.2086369999999995,1.6891745,0.9497648111547976
ct_005_L,20,20,20,4.1711795,3.956087,2.08558975,0.9484336504818361,2.9133544999999996,2.46857,1.4566772499999998,0.8473290840507053,3.9097790000000003,3.6927995000000005,1.9548895000000002,0.9445033849739334
ct_005_R,12,20,20,4.077023333333334,3.9594141666666665,2.038511666666667,0.9711531779312846,2.56363,2.313253,1.281815,0.9023349703350328,3.7624285,3.7817679999999996,1.88121425,1.0051401641253779
ct_006_L,20,20,20,3.1845885000000003,2.9783489999999992,1.5922942500000001,0.9352382576273195,1.6925180000000002,1.7195425,0.8462590000000001,1.0159670384598567,2.807315,2.5932475,1.4036575,0.9237465336095165
ct_006_R,20,20,20,3.2776185,3.2359485,1.63880925,0.9872865008542026,2.0721995,1.919068,1.03609975,0.926101951091099,2.963763,2.7746779999999998,1.4818815,0.9362010390169523
ct_007_L,20,20,20,4.5029265,4.2628815,2.25146325,0.9466913350684271,2.1308175,1.966535,1.06540875,0.9229016562891941,3.1363515,2.8863594999999997,1.56817575,0.9202920973621738
ct_007_R,20,20,20,4.503475,4.4196925,2.2517375,0.9813960330633567,2.5542914999999993,2.3270869999999997,1.2771457499999996,0.9110498938746813,3.3019244999999997,3.121592,1.6509622499999999,0.9453856379817287
ct_008_L,20,20,20,3.835698500000001,3.5420460000000005,1.9178492500000004,0.9234422361403014,1.3364905000000002,1.2332385000000001,0.6682452500000001,0.9227439327103334,3.0638945000000004,3.0385675,1.5319472500000002,0.9917337232075059
ct_008_R,10,20,20,3.9644129999999995,3.9365260000000006,1.9822064999999998,0.9929656673005565,1.5803820000000002,1.485348,0.7901910000000001,0.9398664373550191,3.168764,2.9599485000000003,1.584382,0.9341019085043886
ct_009_L,20,20,20,4.722217,4.4025435,2.3611085,0.9323043604307045,3.035898,2.5336715,1.517949,0.8345706937453103,3.600598,3.4626710000000003,1.800299,0.96169330761168
ct_009_R,14,20,20,4.08427,3.85492,2.042135,0.9438455342080714,0.5870285000000001,0.6572644000000001,0.29351425000000003,1.1196464907581147,2.8890025,2.769609,1.44450125,0.958673106028811
ct_010_L,12,20,20,4.751365833333334,4.284059999999999,2.375682916666667,0.9016481050448825,2.9671369999999997,2.7092985,1.4835684999999998,0.9131019228299874,2.7156275000000005,2.685639,1.3578137500000003,0.9889570642512641
ct_011_L,20,20,20,3.3122945,3.1893335000000005,1.65614725,0.9628773951108515,2.18634,2.0598485,1.09317,0.9421446344118483,3.0538619999999996,2.7152930000000004,1.5269309999999998,0.8891341520998659
ct_011_R,20,20,20,3.2178400000000003,3.1656649999999997,1.6089200000000001,0.9837857071824576,2.311183,2.2577695,1.1555915,0.9768891083051408,3.1213915,3.0951554999999997,1.56069575,0.9915947743178002
ct_012_L,20,20,20,3.9881125000000006,3.9231375,1.9940562500000003,0.9837078317123701,2.509281,2.4749485,1.2546405,0.9863177938222144,3.6492855000000004,3.5874864999999994,1.8246427500000002,0.9830654521275464
ct_012_R,20,20,20,4.623873,4.4645920000000014,2.3119365,0.9655524708399218,2.9584065,2.807423,1.47920325,0.9489645861716434,3.6850119999999995,3.579916,1.8425059999999998,0.9714801471474178
ct_013_L,20,20,18,4.0561905,3.850755999999999,2.02809525,0.9493528472097155,2.93196,2.7152875,1.46598,0.9260997762588848,2.8816344444444444,2.6820488888888887,1.4408172222222222,0.9307387666952898
ct_013_R,20,20,20,3.8288445,3.5497229999999993,1.91442225,0.9271003301387661,0.9748659999999999,0.72730495,0.48743299999999995,0.7460563297930177,2.795836,2.586295,1.397918,0.9250524708888503
ct_014_L,20,20,20,3.9118305000000007,3.7586635,1.9559152500000003,0.9608451848821158,2.4580925000000002,2.351307,1.2290462500000001,0.9565575746234121,3.0871595,2.9892335,1.54357975,0.9682795786871395
ct_014_R,8,20,20,3.7127725,3.49876375,1.85638625,0.9423587763591764,1.23158545,1.0624980000000002,0.615792725,0.8627074962602068,3.147522,3.0477445,1.573761,0.9682996655781914
