Model_ID,ICA_CE_Radius,MCA_CE_Radius,ACA_CE_Radius,Murray_Deviation_Percent,Murray_Exponent_k_minimize,Murray_Exponent_k_root
mr_133_L,2.291873125,1.71449575,1.511321,29.462,1.98392,1.98392
mr_134_L,1.8650395,1.5709035,1.35147975,2.193,2.90378,2.90378
mr_135_L,1.947621,1.7848634999999995,1.1481609999999998,2.546,2.85857,2.85857
mr_135_R,2.0498815,1.6661745,1.5081365,6.477,2.73217,2.73217
mr_136_L,2.0740522500000003,1.55825,1.4205569999999998,25.461,2.10074,2.10074
mr_136_R,2.159533,1.7261565,1.3953975,21.952,2.17876,2.17875
mr_137_L,2.104707142857143,1.5696385000000002,1.111498,43.793,1.56512,1.56512
mr_137_R,2.15929675,1.609754,1.36625225,33.236,1.8763,1.8763
mr_138_L,1.99746,1.8007775,1.499597,-15.588,3.86565,3.86564
mr_138_R,2.022372,1.7892577500000002,1.4459077500000004,-5.798,3.28966,3.28966
mr_139_L,2.9022275,1.6892062499999998,1.2778087499999995,71.747,1.03339,1.0334
mr_139_R,2.538268,1.35312125,1.11601575,76.351,0.96145,0.96145
mr_140_L,1.6316412500000002,1.5701507500000005,0.8794147499999999,-4.772,3.39848,3.39848
mr_140_R,2.0613269999999995,1.6965337500000004,1.6114462499999995,-3.526,3.15862,3.15862
mr_141_L,3.0101165000000005,1.7904707499999997,1.608062,63.709,1.21291,1.21291
mr_141_R,1.97554775,1.5902445,1.53121725,1.277,2.94525,2.94525
mr_142_L,2.0988915,1.83040025,1.5665735,-7.903,3.38861,3.38861
mr_142_R,1.896905,1.8497872500000003,1.458596,-38.196,6.9603,6.9603
mr_143_L,1.857988,1.39833025,1.2560299999999998,26.478,2.06969,2.0697
mr_143_R,2.02628675,1.6989695000000005,1.775122,-26.179,4.52524,4.52524
mr_144_L,3.1086667500000003,1.945397,1.67053075,59.974,1.28081,1.2808
mr_144_R,2.6444202500000005,1.75019675,1.70012075,44.435,1.62304,1.62304
mr_145_L,2.0600305000000003,1.558674,1.49911675,18.147,2.32659,2.32659
mr_146_L,2.61442,1.7770184999999998,1.5701645000000002,46.936,1.55761,1.55761
mr_146_R,2.4885655,1.7857404999999995,1.5816295,37.378,1.78055,1.78054
mr_147_L,1.74598975,1.7929202500000003,1.40699225,-60.612,0.5,
mr_147_R,1.94197575,1.64401675,1.455055,-2.735,3.12475,3.12475
mr_148_L,2.0579505,1.828197,1.481299,-7.4,3.3766,3.3766
mr_148_R,1.98888625,1.70918,1.437463,-1.219,3.05609,3.05609
mr_149_L,1.980972,1.90629125,1.4061577500000002,-24.877,5.05819,5.05818
mr_149_R,1.57031925,1.82422675,1.33576525,-118.323,0.50001,
mr_150_L,1.9551605,1.780576,1.352136,-8.609,3.47566,3.47566
mr_150_R,1.04998425,1.6053465,1.39501325,-491.926,0.50001,
mr_151_L,1.8540235,1.556359,1.3408025,3.024,2.86851,2.86851
mr_151_R,1.8036045,1.521335,1.1527325,13.879,2.4233,2.42331
mr_152_L,1.4707302500000003,1.552896,1.37310525,-99.093,0.50001,
mr_152_R,1.8962312500000005,1.5490085,1.2310250000000005,18.128,2.29389,2.29389
mr_153_L,1.5871270000000002,1.6573884999999997,1.2820585000000002,-66.587,0.50001,
mr_153_R,1.81164,1.73844925,0.935654,-2.139,3.17496,3.17496
mr_154_L,2.12110725,1.54561225,1.39422025,32.909,1.8962,1.8962
mr_154_R,2.24428425,1.953892,1.41446925,8.977,2.59412,2.59412
mr_155_L,2.04140225,1.82297025,1.49144575,-10.209,3.53485,3.53485
mr_155_R,2.4902255,1.96076675,1.8144365,12.502,2.51202,2.51202
mr_156_L,2.2687305,1.8868855,1.7903465000000005,-6.672,3.30996,3.30996
mr_156_R,2.06132675,1.77281975,1.47631325,-0.35,3.01606,3.01606
mr_157_L,2.086426875,1.7151227499999997,1.2282110000000002,24.052,2.07147,2.07147
mr_157_R,2.540528,1.6750907499999996,1.5951292499999998,46.583,1.57358,1.57358
mr_158_L,2.04700525,1.9931565,0.9707332499999998,-2.979,3.3119,3.31191
mr_158_R,2.3872795000000004,1.831589,1.5596547500000004,26.953,2.04617,2.04617
mr_159_L,2.32590275,1.71983275,1.79373525,13.705,2.47289,2.4729
mr_159_R,1.8126685,1.4854105,1.28596575,9.267,2.62131,2.62131
mr_160_L,1.8540365,1.41231125,1.34213375,17.864,2.3349,2.3349
mr_160_R,1.8039865,1.620324,1.4695465,-26.518,4.59732,4.59732
mr_161_L,2.8297615,2.164476,1.85158425,27.234,2.0393,2.0393
mr_161_R,2.52882125,1.94872275,1.36997475,38.339,1.68662,1.68662
mr_162_L,1.5858147500000002,1.5720415,0.9731389999999998,-20.525,6.07096,6.07096
mr_163_L,2.17035025,1.7807222500000002,1.510629,11.047,2.5526,2.5526
mr_163_R,2.2953557500000006,1.818737,1.61195125,15.62,2.40061,2.40061
mr_164_L,2.0269795000000004,1.759389,1.32410175,6.731,2.69589,2.69589
mr_164_R,2.1629545,1.8528815,1.6348224999999998,-6.043,3.28595,3.28595
mr_165_L,1.99109025,1.3454977500000005,1.5889524999999998,18.318,2.304,2.304
mr_165_R,2.1414105,1.2071547500000004,1.28079525,60.69,1.27644,1.27644
